date,return
1985-02,0.00862878
1985-03,-0.00287001
1985-04,-0.00459428
1985-05,0.05405105
1985-06,0.01213402
1985-07,-0.00484758
1985-08,-0.01199452
1985-09,-0.03472408
1985-10,0.04250882
1985-11,0.06506159
1985-12,0.04506109
1986-01,0.00236653
1986-02,0.07148928
1986-03,0.05279392
1986-04,-0.01414814
1986-05,0.05022929
1986-06,0.01410952
1986-07,-0.05868283
1986-08,0.07119261
1986-09,-0.08543860
1986-10,0.05472933
1986-11,0.02147719
1986-12,-0.02828827
1987-01,0.13176689
1987-02,0.03692362
1987-03,0.02638987
1987-04,-0.01145021
1987-05,0.00603420
1987-06,0.04791449
1987-07,0.04822370
1987-08,0.03495884
1987-09,-0.02416617
1987-10,-0.21763041
1987-11,-0.08534887
1987-12,0.07286148
1988-01,0.04043227
1988-02,0.04181740
1988-03,-0.03334326
1988-04,0.00942474
1988-05,0.00317613
1988-06,0.04325601
1988-07,-0.00541137
1988-08,-0.03860010
1988-09,0.03972933
1988-10,0.02596446
1988-11,-0.01889088
1988-12,0.01468757
1989-01,0.07111479
1989-02,-0.02894415
1989-03,0.02080596
1989-04,0.05008994
1989-05,0.03513749
1989-06,-0.00792455
1989-07,0.08837026
1989-08,0.01551672
1989-09,-0.00654437
1989-10,-0.02517545
1989-11,0.01654132
1989-12,0.02141682
1990-01,-0.06881723
1990-02,0.00853904
1990-03,0.02425499
1990-04,-0.02688714
1990-05,0.09198919
1990-06,-0.00888637
1990-07,-0.00522316
1990-08,-0.09431418
1990-09,-0.05118431
1990-10,-0.00669821
1990-11,0.05993421
1990-12,0.02482776
1991-01,0.04151775
1991-02,0.06728118
1991-03,0.02220283
1991-04,0.00031980
1991-05,0.03860497
1991-06,-0.04789263
1991-07,0.04485934
1991-08,0.01964878
1991-09,-0.01914374
1991-10,0.01183424
1991-11,-0.04390371
1991-12,0.11158786
1992-01,-0.01992375
1992-02,0.00958954
1992-03,-0.02183186
1992-04,0.02789271
1992-05,0.00096396
1992-06,-0.01735883
1992-07,0.03937369
1992-08,-0.02399753
1992-09,0.00910559
1992-10,0.00210628
1992-11,0.03026181
1992-12,0.01010777
1993-01,0.00704599
1993-02,0.01048363
1993-03,0.01869730
1993-04,-0.02541681
1993-05,0.02271746
1993-06,0.00075523
1993-07,-0.00532705
1993-08,0.03443196
1993-09,-0.00998793
1993-10,0.01939292
1993-11,-0.01291063
1993-12,0.01009117
1994-01,0.03250075
1994-02,-0.03004500
1994-03,-0.04574651
1994-04,0.01153064
1994-05,0.01239714
1994-06,-0.02679082
1994-07,0.03148991
1994-08,0.03759870
1994-09,-0.02687753
1994-10,0.02083382
1994-11,-0.03950461
1994-12,0.01229912
1995-01,0.02427771
1995-02,0.03607415
1995-03,0.02732920
1995-04,0.02796036
1995-05,0.03631171
1995-06,0.02127854
1995-07,0.03177604
1995-08,-0.00032024
1995-09,0.04009747
1995-10,-0.00497934
1995-11,0.04104900
1995-12,0.01744387
1996-01,0.03261739
1996-02,0.00693370
1996-03,0.00791657
1996-04,0.01343142
1996-05,0.02285341
1996-06,0.00225671
1996-07,-0.04574802
1996-08,0.01881394
1996-09,0.05420333
1996-10,0.02610100
1996-11,0.07337615
1996-12,-0.02150541
1997-01,0.06131704
1997-02,0.00592759
1997-03,-0.04261401
1997-04,0.05840558
1997-05,0.05857688
1997-06,0.04345261
1997-07,0.07814581
1997-08,-0.05746563
1997-09,0.05315359
1997-10,-0.03447770
1997-11,0.04458686
1997-12,0.01573160
1998-01,0.01015018
1998-02,0.07044919
1998-03,0.04994571
1998-04,0.00907647
1998-05,-0.01882622
1998-06,0.03943824
1998-07,-0.01161533
1998-08,-0.14579672
1998-09,0.06239552
1998-10,0.08029423
1998-11,0.05912600
1998-12,0.05637529
1999-01,0.04100944
1999-02,-0.03228256
1999-03,0.03879422
1999-04,0.03794403
1999-05,-0.02497048
1999-06,0.05443833
1999-07,-0.03204609
1999-08,-0.00625409
1999-09,-0.02855179
1999-10,0.06253954
1999-11,0.01906186
1999-12,0.05784389
2000-01,-0.05090355
2000-02,-0.02010808
2000-03,0.09671983
2000-04,-0.03079576
2000-05,-0.02191505
2000-06,0.02393355
2000-07,-0.01634128
2000-08,0.06069910
2000-09,-0.05348297
2000-10,-0.00494949
2000-11,-0.08006861
2000-12,0.00405345
2001-01,0.03463658
2001-02,-0.09229074
2001-03,-0.06420471
2001-04,0.07681436
2001-05,0.00509019
2001-06,-0.02503539
2001-07,-0.01074015
2001-08,-0.06410841
2001-09,-0.08172341
2001-10,0.01809911
2001-11,0.07517590
2001-12,0.00757383
2002-01,-0.01557383
2002-02,-0.02076621
2002-03,0.03673889
2002-04,-0.06141763
2002-05,-0.00908148
2002-06,-0.07245535
2002-07,-0.07900428
2002-08,0.00488143
2002-09,-0.11002432
2002-10,0.08644880
2002-11,0.05706962
2002-12,-0.06033257
2003-01,-0.02741469
2003-02,-0.01700361
2003-03,0.00835757
2003-04,0.08104411
2003-05,0.05089871
2003-06,0.01132221
2003-07,0.01622370
2003-08,0.01787320
2003-09,-0.01194436
2003-10,0.05496149
2003-11,0.00712850
2003-12,0.05076554
2004-01,0.01727639
2004-02,0.01220897
2004-03,-0.01635892
2004-04,-0.01679075
2004-05,0.01208345
2004-06,0.01798900
2004-07,-0.03429052
2004-08,0.00228735
2004-09,0.00936388
2004-10,0.01401424
2004-11,0.03859494
2004-12,0.03245821
2005-01,-0.02529047
2005-02,0.01890335
2005-03,-0.01911766
2005-04,-0.02010858
2005-05,0.02995205
2005-06,-0.00014271
2005-07,0.03596829
2005-08,-0.01122210
2005-09,0.00694902
2005-10,-0.01774078
2005-11,0.03518610
2005-12,-0.00095235
2006-01,0.02546677
2006-02,0.00045316
2006-03,0.01109581
2006-04,0.01215565
2006-05,-0.03091692
2006-06,0.00008660
2006-07,0.00508588
2006-08,0.02127419
2006-09,0.02456630
2006-10,0.03150800
2006-11,0.01646666
2006-12,0.01261578
2007-01,0.01405904
2007-02,-0.02184618
2007-03,0.00997998
2007-04,0.04329069
2007-05,0.03254923
2007-06,-0.01781632
2007-07,-0.03198188
2007-08,0.01286357
2007-09,0.03579401
2007-10,0.01482234
2007-11,-0.04404342
2007-12,-0.00862851
2008-01,-0.06116343
2008-02,-0.03476119
2008-03,-0.00595962
2008-04,0.04754670
2008-05,0.01067418
2008-06,-0.08596238
2008-07,-0.00985937
2008-08,0.01219046
2008-09,-0.09079143
2008-10,-0.16942452
2008-11,-0.07484904
2008-12,0.00782158
2009-01,-0.08565734
2009-02,-0.10993120
2009-03,0.08540446
2009-04,0.09392508
2009-05,0.05308145
2009-06,0.00019583
2009-07,0.07414173
2009-08,0.03356019
2009-09,0.03572335
2009-10,-0.01976200
2009-11,0.05736406
2009-12,0.01777057
2010-01,-0.03697425
2010-02,0.02851369
2010-03,0.05879643
2010-04,0.01475923
2010-05,-0.08197584
2010-06,-0.05388244
2010-07,0.06877785
2010-08,-0.04744918
2010-09,0.08755110
2010-10,0.03685599
2010-11,-0.00229025
2010-12,0.06530004
2011-01,0.02264557
2011-02,0.03195656
2011-03,-0.00104731
2011-04,0.02849538
2011-05,-0.01350095
2011-06,-0.01825746
2011-07,-0.02147443
2011-08,-0.05679111
2011-09,-0.07176199
2011-10,0.10772304
2011-11,-0.00505872
2011-12,0.00853276
2012-01,0.04358306
2012-02,0.04058946
2012-03,0.03133231
2012-04,-0.00749745
2012-05,-0.06265073
2012-06,0.03955498
2012-07,0.01259757
2012-08,0.01976337
2012-09,0.02423615
2012-10,-0.01978941
2012-11,0.00284672
2012-12,0.00706823
2013-01,0.05042810
2013-02,0.01106065
2013-03,0.03598772
2013-04,0.01808577
2013-05,0.02076281
2013-06,-0.01499930
2013-07,0.04946208
2013-08,-0.03129802
2013-09,0.02974952
2013-10,0.04459575
2013-11,0.02804947
2013-12,0.02356279
2014-01,-0.03558291
2014-02,0.04311703
2014-03,0.00693217
2014-04,0.00620079
2014-05,0.02103028
2014-06,0.01905833
2014-07,-0.01507983
2014-08,0.03765530
2014-09,-0.01551384
2014-10,0.02320146
2014-11,0.02453359
2014-12,-0.00418859
2015-01,-0.03104081
2015-02,0.05489251
2015-03,-0.01739611
2015-04,0.00852082
2015-05,0.01049138
2015-06,-0.02101167
2015-07,0.01974203
2015-08,-0.06258082
2015-09,-0.02644283
2015-10,0.08298312
2015-11,0.00050487
2015-12,-0.01753019
2016-01,-0.05073532
2016-02,-0.00412836
2016-03,0.06599111
2016-04,0.00269940
2016-05,0.01532460
2016-06,0.00091092
2016-07,0.03560980
2016-08,-0.00121924
2016-09,-0.00123445
2016-10,-0.01942568
2016-11,0.03417452
2016-12,0.01820076
2017-01,0.01788436
2017-02,0.03719816
2017-03,-0.00038920
2017-04,0.00909121
2017-05,0.01157625
2017-06,0.00481378
2017-07,0.01934883
2017-08,0.00054643
2017-09,0.01930298
2017-10,0.02218814
2017-11,0.02808263
2017-12,0.00983163
2018-01,0.05617870
2018-02,-0.03894737
2018-03,-0.02688450
2018-04,0.00271877
2018-05,0.02160834
2018-06,0.00484244
2018-07,0.03602156
2018-08,0.03026321
2018-09,0.00429429
2018-10,-0.06940336
2018-11,0.01785936
2018-12,-0.09177689
2019-01,0.07868440
2019-02,0.02972889
2019-03,0.01792426
